AverageX_Test,AverageY_Test,AverageX_beforeedit,Average Y before edit 
2285.452315,968.7376295,2285.452315,968.7376295
2285.61531,968.7081108,2285.61531,968.7081108
2285.902559,968.8393671,2285.902559,968.8393671
2286.034065,968.9350309,2286.034065,968.9350309
2286.341766,968.9643187,2286.341766,968.9643187
2286.641766,968.9643187,2286.424488,969.1263374
2286.941766,968.9643187,2286.692079,968.9517623
2287.241766,968.9643187,2286.755897,969.1708892
2287.541766,968.9643187,2287.08541,969.0839213
2287.841766,968.9643187,2287.232243,969.0319456
2288.141766,968.9643187,2287.455124,969.1942615
2288.441766,968.9643187,2287.721437,969.098046
2288.741766,968.9643187,2287.859639,969.3989323
2289.041766,968.9643187,2288.179013,969.3590546
2289.341766,968.9643187,2288.189859,969.3777473
2289.641766,968.9643187,2288.441803,969.5385431
2289.941766,968.9643187,2288.531668,969.6118772
2290.241766,968.9643187,2288.890846,969.8427404
2290.541766,968.9643187,2289.061162,969.8191752
2290.841766,968.9643187,2289.280365,969.8965151
2291.141766,968.9643187,2289.43346,969.9178969
2291.441766,968.9643187,2289.666075,970.1233308
2291.741766,968.9643187,2289.864842,970.2395135
2292.041766,968.9643187,2289.981517,970.2839998
2292.341766,968.9643187,2290.234163,970.4641261
2292.641766,968.9643187,2290.331521,970.6903342
2292.941766,968.9643187,2290.595566,970.8812714
2293.241766,968.9643187,2290.660415,971.0084541
2293.541766,968.9643187,2290.898286,971.226795
2293.841766,968.9643187,2290.902741,971.4173491
2294.141766,968.9643187,2291.173426,971.6094382
2294.441766,968.9643187,2291.248658,971.7576657
2294.741766,968.9643187,2291.546442,971.9399464
2295.041766,968.9643187,2291.659107,972.1647114
2295.341766,968.9643187,2291.811974,972.5198928
2295.641766,968.9643187,2291.866041,972.6972061
2295.941766,968.9643187,2292.125738,972.9444982
2296.241766,968.9643187,2292.252959,973.1877707
2296.541766,968.9643187,2292.407157,973.4762183
2296.841766,968.9643187,2292.47678,973.7168405
2297.141766,968.9643187,2292.744417,973.9854876
2297.441766,968.9643187,2292.954808,974.2378859
2297.741766,968.9643187,2293.072681,974.5461056
2298.041766,968.9643187,2293.295504,974.7803987
2298.341766,968.9643187,2293.425342,975.0858495
2298.641766,968.9643187,2293.824403,975.3179278
2298.941766,968.9643187,2293.866472,975.6573805
2299.241766,968.9643187,2294.048322,975.9021713
2299.541766,968.9643187,2294.239838,976.2241106
2299.841766,968.9643187,2294.38721,976.4860289
2300.141766,968.9643187,2294.598932,976.8300808
2300.441766,968.9643187,2294.65261,977.0859803
2300.741766,968.9643187,2294.968134,977.4368623