PositionX_Test,PositionY_Test,AverageX_Test,AverageY_Test,Delta1_test,Delta2_test,XPos1Prime_Test,YPos1Prime_Test,Xpos2Prime_Test,YPos2Prime_Test,,Slope,Median,Difference,,,,,,,AverageX_Test,AverageY_Test
2285.727959,968.4721015,2285.452315,968.7376295,0.022415168,0.137814819,2285.465769,969.0819378,2285.438861,968.3933213,,,,,,,,2285.61531,968.7081108,,2285.452315,968.7376295
2286.024213,968.4654817,2285.61531,968.7081108,0.007428291,0.118196321,2285.628764,969.052419,2285.601856,968.3638025,,-0.181101874,,,,,,2285.902559,968.8393671,,2285.61531,968.7081108
2286.170805,968.4652413,2285.902559,968.8393671,0.027286483,0.137062644,2285.916013,969.1836754,2285.889105,968.4950589,,0.225961034,,,,,,2286.034065,968.9350309,,2285.902559,968.8393671
2286.469186,968.4753526,2286.034065,968.9350309,0.041012289,0.160777322,2286.047519,969.2793392,2286.020611,968.5907227,,0.339323421,,,,,,2286.341766,968.9643187,,2286.034065,968.9350309
2286.550824,968.4927818,2286.341766,968.9643187,0.03561601,0.154071636,2286.35522,969.308627,2286.328312,968.6200105,,0.25486418,,,,,,2286.424488,969.1263374,,2286.341766,968.9643187
2286.805617,968.5169504,2286.424488,969.1263374,0.097542069,0.170630109,2286.437942,969.4706456,2286.411034,968.7820291,,0.399834083,0.25486418,,,,,2286.692079,968.9517623,,2286.424488,969.1263374
2286.885965,968.5507899,2286.692079,968.9517623,0.023273193,0.135620013,2286.705533,969.2960705,2286.678625,968.607454,,0.172720615,0.25486418,0,,,,2286.755897,969.1708892,,2286.692079,968.9517623
2287.184968,968.5937707,2286.755897,969.1708892,0.082954152,0.176257306,2286.769351,969.5151975,2286.742443,968.826581,,0.33236091,0.33236091,0.07749673,,,,2287.08541,969.0839213,,2286.755897,969.1708892
2287.340334,968.6424844,2287.08541,969.0839213,0.059144536,0.130399217,2287.098864,969.4282295,2287.071956,968.739613,,0.212046329,0.25486418,0,,,,2287.232243,969.0319456,,2287.08541,969.0839213
2287.54532,968.6978841,2287.232243,969.0319456,0.026282586,0.126329545,2287.245697,969.3762538,2287.218789,968.6876373,,0.165352812,0.212046329,-0.042817851,,,,2287.455124,969.1942615,,2287.232243,969.0319456
2287.834464,968.7588742,2287.455124,969.1942615,0.081410911,0.125364291,2287.468578,969.5385698,2287.44167,968.8499533,,0.22799578,0.212046329,-0.042817851,,,,2287.721437,969.098046,,2287.455124,969.1942615
2287.994156,968.8293777,2287.721437,969.098046,0.015418796,0.124159567,2287.734891,969.4423543,2287.707983,968.7537378,,0.158835223,0.212046329,-0.042817851,,,,2287.859639,969.3989323,,2287.721437,969.098046
2288.294102,968.9051037,2287.859639,969.3989323,0.074673405,0.188305188,2287.873093,969.7432405,2287.846185,969.054624,,0.274704527,0.212046329,-0.042817851,,,,2288.179013,969.3590546,,2287.859639,969.3989323
2288.296545,968.9886221,2288.179013,969.3590546,0.059118917,0.148333997,2288.192467,969.7033628,2288.165559,969.0147463,,0.227903897,0.227903897,-0.026960283,,,,2288.189859,969.3777473,,2288.179013,969.3590546
2288.561808,969.0776214,2288.189859,969.3777473,0.064084842,0.126968451,2288.203313,969.7220555,2288.176404,969.033439,,0.233829228,0.22799578,-0.0268684,,,,2288.441803,969.5385431,,2288.189859,969.3777473
2288.680703,969.1748297,2288.441803,969.5385431,0.079742387,0.158305771,2288.455257,969.8828514,2288.428349,969.1942349,,0.267909956,0.233829228,-0.021034952,,,,2288.531668,969.6118772,,2288.441803,969.5385431
2288.979791,969.2813959,2288.531668,969.6118772,0.057486729,0.181505137,2288.545122,969.9561855,2288.518214,969.267569,,0.283906295,0.267909956,0.013045776,,,,2288.890846,969.8427404,,2288.531668,969.6118772
2289.137502,969.393303,2288.890846,969.8427404,0.162075511,0.166657625,2288.9043,970.1870487,2288.877392,969.4984322,,0.321390414,0.267909956,0.013045776,,,,2289.061162,969.8191752,,2288.890846,969.8427404
2289.323014,969.5111122,2289.061162,969.8191752,0.139310081,0.112207981,2289.074617,970.1634834,2289.047708,969.4748669,,0.299692866,0.283906295,0.029042114,,,,2289.280365,969.8965151,,2289.061162,969.8191752
2289.488567,969.6379583,2289.280365,969.8965151,0.167367413,0.067412106,2289.293819,970.2408234,2289.266911,969.5522069,,0.302735231,0.299692866,0.044828686,,,,2289.43346,969.9178969,,2289.280365,969.8965151
2289.744243,969.7723685,2289.43346,969.9178969,0.130712509,0.036889628,2289.446914,970.2622051,2289.420006,969.5735886,,0.296464309,0.299692866,0.044828686,,,,2289.666075,970.1233308,,2289.43346,969.9178969
2289.908875,969.9139401,2289.666075,970.1233308,0.140318402,0.084525499,2289.679529,970.4676391,2289.652621,969.7790226,,0.328851501,0.302735231,0.04787105,,,,2289.864842,970.2395135,,2289.666075,970.1233308
2290.057243,970.0605551,2289.864842,970.2395135,0.173783301,0.040418971,2289.878296,970.5838217,2289.851388,969.8952052,,0.340368229,0.302735231,0.04787105,,,,2289.981517,970.2839998,,2289.864842,970.2395135
2290.334504,970.2137252,2289.981517,970.2839998,0.117735863,0.011225026,2289.994971,970.628308,2289.968063,969.9396915,,0.341422242,0.328851501,0.073987321,,,,2290.234163,970.4641261,,2289.981517,970.2839998
2290.384,970.3729064,2290.234163,970.4641261,0.110206005,0.036074667,2290.247617,970.8084343,2290.220709,970.1198178,,0.361052171,0.340368229,0.085504049,,,,2290.331521,970.6903342,,2290.234163,970.4641261
2290.659117,970.5400625,2290.331521,970.6903342,0.193473078,0.034090053,2290.344975,971.0346424,2290.318067,970.3460259,,0.400209522,0.341422242,0.086558061,,,,2290.595566,970.8812714,,2290.331521,970.6903342
2290.752508,970.7135851,2290.595566,970.8812714,0.1989138,0.053411797,2290.60902,971.2255796,2290.582112,970.5369631,,0.416787339,0.361052171,0.10618799,flag,,,2290.660415,971.0084541,,2290.595566,970.8812714
2291.022412,970.8943165,2290.660415,971.0084541,0.166305008,0.037324194,2290.673869,971.3527623,2290.646961,970.6641458,,0.436017857,0.400209522,0.145345342,flag,,,2290.898286,971.226795,,2290.660415,971.0084541
2291.037169,971.0798922,2290.898286,971.226795,0.159387983,0.077432727,2290.91174,971.5711032,2290.884832,970.8824867,,0.457065508,0.416787339,0.161923159,flag,,,2290.902741,971.4173491,,2290.898286,971.226795
2291.318534,971.2702312,2290.902741,971.4173491,0.168164232,0.084011616,2290.916195,971.7616574,2290.889287,971.0730409,,0.49165324,0.436017857,0.181153677,flag,,,2291.173426,971.6094382,,2290.902741,971.4173491
2291.431295,971.4667325,2291.173426,971.6094382,0.164852591,0.080754358,2291.18688,971.9537465,2291.159972,971.26513,,0.501966961,0.457065508,0.202201327,flag,Moved ,,2294.316111,971.1029488,,2291.173426,971.6094382
2291.730325,971.6705482,2291.473426,971.4589727,0.120860788,0.052001065,2291.262112,972.1019739,2291.235204,971.4133574,,0.451966961,0.457065508,0.202201327,flag,,,2292.442189,969.4071669,,2291.473426,968.436574
2291.816492,971.8817088,2291.773426,971.2785073,0.114137909,0.016061904,2291.559896,972.2842546,2291.532988,971.5956381,,0.401966961,0.457065508,0.202201327,flag,,,2294.665025,969.4751633,,2291.773426,968.421574
2292.090527,972.0990933,2292.073426,971.0680418,0.155820324,0.009447042,2291.672561,972.5090196,2291.645653,971.8204031,,0.351966961,0.451966961,0.19710278,flag,,,2290.748438,968.6093867,,2292.073426,968.406574
2292.101854,972.3207226,2292.373426,970.8275764,0.125446037,0.166491641,2291.825428,972.8642011,2291.79852,972.1755846,,0.301966961,0.401966961,0.14710278,flag,,,2295.284992,970.6575408,,2292.373426,968.391574
2292.364066,972.5459357,2292.673426,970.5571109,0.15638152,0.10618313,2291.879495,973.0415143,2291.852587,972.3528978,,0.251966961,0.351966961,0.09710278,stop correction,,,2291.352587,968.9911164,,2292.673426,968.376574
2292.497521,972.7766522,2292.973426,970.632701,0.171750934,0.112912191,2292.139192,973.2888064,2292.112284,972.6001899,,0.251966961,0.301966961,0.04710278,stop correction,,,2295.446419,970.1871737,,2292.973426,968.7376295
2292.789805,973.0132924,2293.273426,970.7082911,0.18458613,0.117985079,2292.266413,973.532079,2292.239505,972.8434625,,0.251966961,0.251966961,-0.00289722,stop correction,,,2290.821505,968.7699537,,2293.273426,968.7376295
2292.816231,973.255874,2293.573426,970.7838812,0.102645272,0.177711057,2292.420611,973.8205266,2292.393703,973.1319101,,0.251966961,0.251966961,-0.00289722,stop correction,,,2295.279054,970.6107489,,2293.573426,968.7376295
2293.106192,973.5037091,2293.873426,970.8594712,0.154852357,0.164095402,2292.490234,974.0611487,2292.463326,973.3725322,,0.251966961,0.251966961,-0.00289722,stop correction,,,2291.244687,968.9403744,,2293.873426,968.7376295
2293.290428,973.7572165,2294.173426,970.9350613,0.153290472,0.168267987,2292.757871,974.3297958,2292.730963,973.6411793,,0.251966961,0.251966961,-0.00289722,stop correction,,,2295.46294,970.2643495,,2294.173426,968.7376295
2293.457504,974.0158756,2294.473426,971.0106514,0.183703327,0.152589398,2292.968262,974.5821941,2292.941354,973.8935776,,0.251966961,0.251966961,-0.00289722,stop correction,,,2290.937861,968.8179043,,2294.473426,968.7376295
2293.75249,974.2796271,2294.773426,971.0862415,0.183912053,0.194601984,2293.086135,974.8904139,2293.059227,974.2017974,,0.251966961,0.251966961,-0.00289722,stop correction,,,2295.318261,970.5293338,,2294.773426,968.7376295
2293.925185,974.5461716,2295.073426,971.1618316,0.11303464,0.147576837,2293.308958,975.124707,2293.28205,974.4360905,,0.251966961,0.251966961,-0.00289722,stop correction,,,2291.211078,968.9275641,,2295.073426,968.7376295
2294.217418,974.8172602,2295.373426,971.2374217,0.113274311,0.174472865,2293.438796,975.4301577,2293.411888,974.7415412,,0.251966961,0.251966961,-0.00289722,stop correction,,,2295.413698,970.2863307,,2295.373426,968.7376295
2294.412779,975.0907434,2295.673426,971.3130118,0.178394294,0.120082733,2293.837857,975.6622361,2293.810949,974.9736196,,0.251966961,0.251966961,-0.00289722,stop correction,,,2290.872332,968.7900378,,2295.673426,968.7376295
2294.561329,975.3668049,2295.973426,971.3886019,0.107567408,0.165113848,2293.879926,976.0016887,2293.853018,975.3130722,,0.251966961,0.251966961,-0.00289722,stop correction,,,2295.315883,970.5592068,,2295.973426,968.7376295
2294.77489,975.6464783,2296.273426,971.4641919,0.125323725,0.127524812,2294.061776,976.2464796,2294.034868,975.5578631,,0.251966961,0.251966961,-0.00289722,stop correction,,,2291.230191,968.9358016,,2296.273426,968.7376295
2294.930902,975.928612,2296.573426,971.539782,0.143019576,0.154940043,2294.253292,976.5684188,2294.226384,975.8798023,,0.251966961,0.251966961,-0.00289722,stop correction,,,2295.462032,970.2609963,,2296.573426,968.7376295
2295.225473,976.2128439,2296.873426,971.6153721,0.134069765,0.125810393,2294.400664,976.8303371,2294.373756,976.1417206,,,,,,,,2290.828409,968.7785836,,2296.873426,968.7376295
2295.274287,976.4990498,,,0.113346122,0.156392315,2294.612386,977.1743891,2294.585478,976.4857726,,,,,,,,2295.277411,970.6110309,,,
2295.571822,976.7880272,,,0.11345149,0.127218184,2294.666064,977.4302885,2294.639156,976.741672,,,,,,,,2291.263039,968.9494619,,,
2295.637697,977.0792222,,,0.170959333,0.17369153,2294.981588,977.7811705,2294.95468,977.092554,,,,,,,,2291.263039,968.9494619,,,